request_id,request_datetime,state,urban_rural,population_density_per_sqkm,building_type,dwelling_floors,floor_number,distance_to_exchange_km,distance_to_fiber_km,technology_type,existing_infrastructure,terrain_type,soil_type,vegetation_density,road_access_type,temperature_c,rain_mm_last24h,wind_speed_kmh,storm_flag,flood_warning_flag,bushfire_warning_flag,crew_available_at_request,backlog_open_jobs_region,public_holiday_flag,day_of_week,time_of_day_bucket,sla_hours,actual_eta_hours
REQ_00071,2024-10-31T18:00:00,SA,Suburban,2670.4,Highrise_Office,36,13,4.22,2.12,Satellite,None,Coastal,Mixed,Medium,Sealed,20.0,3.2,27.3,0,0,0,0,31,0,Thursday,Evening,96,154.7
REQ_00072,2024-06-15T14:00:00,NT,Suburban,502.8,Small_Business,1,1,0.23,0.93,FTTN,None,Mountainous,Clay,Medium,Sealed,28.0,1.9,15.2,0,0,0,1,15,0,Saturday,Afternoon,62,80.2
REQ_00073,2024-08-11T00:00:00,TAS,Suburban,2907.48,Highrise_Office,39,4,1.03,2.34,FTTN,5G_available,Outback,Rock,Low,Sealed,13.8,0.9,22.8,0,0,0,0,1,0,Sunday,Night,73,156.6
REQ_00074,2024-08-01T14:00:00,SA,Urban,1926.57,Apartment,3,3,1.41,0.1,Fixed_Wireless,ADSL,Outback,Clay,Low,Unsealed,17.9,0.0,20.4,0,0,0,0,28,0,Thursday,Afternoon,86,147.6
REQ_00075,2024-05-11T11:00:00,SA,Suburban,2136.28,Highrise_Office,12,8,2.28,2.84,HFC,5G_available,Hilly,Rock,Low,Sealed,31.9,0.5,6.4,0,0,0,1,62,0,Saturday,Morning,65,83.3
REQ_00076,2024-08-12T14:00:00,NSW,Suburban,1678.83,Detached_House,1,1,4.37,2.35,FTTN,5G_available,Outback,Rock,Medium,Sealed,21.8,3.4,18.7,0,0,0,1,2,0,Monday,Afternoon,80,132.5
REQ_00077,2024-11-17T21:00:00,NT,Urban,4503.63,Apartment,16,4,2.27,0.68,HFC,ADSL,Coastal,Rock,Low,Sealed,21.4,1.6,14.9,0,0,0,1,23,0,Sunday,Evening,72,71.3
REQ_00078,2024-02-27T21:00:00,NT,Urban,7835.55,Apartment,8,4,3.94,0.21,FTTN,None,Flat,Clay,Low,Sealed,27.0,1.0,12.9,0,0,0,1,2,0,Tuesday,Evening,75,86.4
REQ_00079,2024-04-23T08:00:00,SA,Urban,5137.72,Detached_House,1,1,0.62,1.12,FTTP,4G_only,Outback,Clay,Medium,Sealed,24.0,1.5,12.8,0,0,0,1,24,0,Tuesday,Morning,61,76.8
REQ_00080,2024-05-11T00:00:00,NT,Urban,1837.81,Highrise_Office,27,18,3.2,2.37,Satellite,ADSL,Outback,Sand,Medium,Unsealed,35.0,1.8,31.9,0,0,0,1,13,0,Saturday,Night,74,92.1
REQ_00081,2024-06-20T05:00:00,WA,Suburban,704.07,Townhouse,2,1,4.38,0.74,HFC,None,Hilly,Sand,Low,Sealed,28.1,2.2,10.4,0,0,0,1,12,0,Thursday,Night,77,97.1
REQ_00082,2024-09-16T20:00:00,NT,Urban,4219.6,Detached_House,1,1,4.37,2.21,FTTN,ADSL,Coastal,Sand,Medium,Seasonal,17.7,3.1,0.1,0,0,0,1,65,0,Monday,Evening,83,144.0
REQ_00083,2024-08-22T15:00:00,WA,Urban,5440.23,Highrise_Office,11,10,4.96,0.92,FTTP,None,Mountainous,Clay,Low,Sealed,17.7,0.9,2.6,0,0,0,1,4,0,Thursday,Afternoon,67,108.4
REQ_00084,2024-07-12T16:00:00,SA,Suburban,1118.08,Highrise_Office,23,20,3.05,0.57,Satellite,ADSL,Coastal,Rock,Medium,Seasonal,15.0,0.5,4.6,0,0,0,1,2,0,Friday,Afternoon,84,101.2
REQ_00085,2024-09-24T22:00:00,NT,Urban,3034.33,Highrise_Office,31,29,1.82,2.5,FTTP,ADSL,Mountainous,Rock,Low,Sealed,19.0,1.9,11.6,0,0,0,1,2,0,Tuesday,Night,79,104.8
REQ_00086,2024-05-28T16:00:00,NSW,Remote,35.56,Industrial,3,3,7.37,11.52,Fixed_Wireless,Cable,Hilly,Mixed,Medium,Sealed,17.9,0.0,20.8,0,0,0,0,1,0,Tuesday,Afternoon,101,114.4
REQ_00087,2024-08-03T18:00:00,SA,Urban,3555.01,Highrise_Office,28,20,4.94,2.9,FTTN,4G_only,Flat,Mixed,Low,Sealed,22.2,0.8,17.8,0,0,0,1,10,0,Saturday,Evening,79,77.9
REQ_00088,2024-10-25T23:00:00,VIC,Rural,194.13,Townhouse,2,2,43.67,7.91,FTTN,ADSL,Coastal,Sand,Medium,Sealed,13.4,2.5,14.8,0,0,0,1,30,0,Friday,Night,91,114.4
REQ_00089,2024-02-11T02:00:00,TAS,Urban,7551.17,Small_Business,1,1,4.72,2.5,Fixed_Wireless,4G_only,Flat,Mixed,Medium,Sealed,19.0,0.3,29.5,0,0,0,0,13,0,Sunday,Night,72,93.3
REQ_00090,2024-05-14T14:00:00,TAS,Suburban,2346.12,Small_Business,2,2,3.4,2.44,HFC,4G_only,Hilly,Rock,Medium,Seasonal,19.6,3.3,12.6,0,0,0,1,1,0,Tuesday,Afternoon,81,106.9
REQ_00091,2024-04-25T12:00:00,NT,Rural,68.29,Small_Business,1,1,20.26,22.39,FTTP,5G_available,Outback,Clay,Medium,Sealed,36.2,0.8,33.0,0,0,0,0,13,0,Thursday,Afternoon,91,150.2
REQ_00092,2024-04-29T07:00:00,NSW,Suburban,2617.92,Apartment,23,5,2.11,1.78,FTTP,4G_only,Flat,Mixed,High,Sealed,24.0,1.3,26.1,0,0,0,1,18,0,Monday,Morning,70,65.7
REQ_00093,2024-01-17T22:00:00,QLD,Suburban,1577.16,Industrial,1,1,1.37,2.79,FTTN,4G_only,Coastal,Mixed,High,Sealed,22.7,1.0,12.8,0,0,0,1,5,0,Wednesday,Night,74,75.7
REQ_00094,2024-10-09T19:00:00,QLD,Urban,6850.63,Highrise_Office,16,7,2.72,2.16,HFC,4G_only,Flat,Rock,Medium,Unsealed,20.5,0.0,2.3,0,0,0,1,9,0,Wednesday,Evening,66,89.3
REQ_00095,2024-08-08T11:00:00,TAS,Rural,13.47,Highrise_Office,24,22,41.32,35.48,FTTN,None,Mountainous,Mixed,High,Sealed,9.4,1.8,9.7,0,0,0,1,27,0,Thursday,Morning,91,143.2
REQ_00096,2024-06-02T11:00:00,NT,Urban,4254.3,Highrise_Office,34,10,2.37,1.8,Fixed_Wireless,ADSL,Mountainous,Clay,High,Sealed,27.8,0.0,20.1,0,0,0,1,1,1,Sunday,Morning,86,102.9
REQ_00097,2024-11-13T14:00:00,ACT,Urban,5053.53,Small_Business,1,1,0.48,0.51,FTTP,4G_only,Coastal,Mixed,High,Unsealed,15.7,2.4,2.6,0,0,0,1,8,0,Wednesday,Afternoon,68,101.7
REQ_00098,2024-10-08T20:00:00,QLD,Suburban,698.55,Apartment,10,9,1.75,0.76,FTTP,5G_available,Mountainous,Sand,High,Sealed,24.9,0.3,15.3,0,0,0,0,24,0,Tuesday,Evening,80,121.2
REQ_00099,2024-11-28T11:00:00,NT,Urban,3608.17,Detached_House,1,1,2.02,1.15,FTTN,Cable,Hilly,Sand,Medium,Seasonal,23.6,0.2,15.9,0,0,0,1,1,0,Thursday,Morning,64,84.0
REQ_00100,2024-04-13T21:00:00,TAS,Suburban,1556.72,Small_Business,1,1,3.39,2.41,HFC,4G_only,Outback,Mixed,High,Sealed,14.8,6.9,10.7,0,0,0,0,73,0,Saturday,Evening,71,140.3
REQ_00101,2024-09-29T21:00:00,NT,Rural,22.38,Apartment,9,6,9.65,3.46,HFC,None,Mountainous,Clay,Medium,Sealed,22.8,0.3,11.7,0,0,0,1,6,0,Sunday,Evening,84,125.4
REQ_00102,2024-07-02T14:00:00,VIC,Rural,36.54,Industrial,3,1,20.77,20.54,Fixed_Wireless,ADSL,Mountainous,Sand,Low,Unsealed,14.6,0.5,32.5,0,0,0,1,11,0,Tuesday,Afternoon,109,163.7
REQ_00103,2024-11-16T13:00:00,SA,Urban,2025.98,Small_Business,1,1,1.27,2.88,FTTP,Cable,Outback,Clay,Low,Sealed,19.8,1.6,16.0,0,0,0,1,5,0,Saturday,Afternoon,60,92.3
REQ_00104,2024-03-22T16:00:00,ACT,Suburban,2563.0,Detached_House,1,1,0.32,0.49,FTTN,Cable,Hilly,Mixed,Medium,Sealed,18.4,8.9,19.1,0,0,0,1,5,0,Friday,Afternoon,73,86.8
REQ_00105,2024-05-06T12:00:00,NSW,Rural,25.6,Small_Business,2,2,19.51,16.07,Satellite,Cable,Hilly,Sand,Medium,Sealed,20.3,0.0,17.2,0,0,0,1,21,0,Monday,Afternoon,119,115.4
REQ_00106,2024-08-15T00:00:00,SA,Suburban,2456.74,Small_Business,2,2,3.17,1.94,HFC,ADSL,Mountainous,Clay,High,Unsealed,14.3,0.0,9.1,0,0,0,0,15,0,Thursday,Night,65,118.9
REQ_00107,2024-08-25T05:00:00,VIC,Urban,5751.49,Highrise_Office,16,14,1.05,1.22,FTTN,ADSL,Mountainous,Sand,High,Sealed,14.8,3.7,6.6,0,0,0,1,17,1,Sunday,Night,64,68.3
REQ_00108,2024-07-18T19:00:00,SA,Urban,5699.59,Industrial,4,2,0.81,2.61,Fixed_Wireless,5G_available,Outback,Mixed,High,Seasonal,21.9,0.0,23.7,0,0,0,1,29,0,Thursday,Evening,81,137.3
REQ_00109,2024-06-24T00:00:00,WA,Suburban,755.37,Townhouse,2,2,0.57,0.91,FTTP,None,Mountainous,Clay,Medium,Seasonal,26.2,3.6,16.2,0,0,0,1,10,0,Monday,Night,67,117.4
REQ_00110,2024-10-22T03:00:00,NSW,Urban,4829.44,Small_Business,2,1,3.64,0.31,FTTP,ADSL,Hilly,Sand,High,Sealed,15.2,0.0,8.6,0,0,0,1,6,0,Tuesday,Night,74,92.6
REQ_00111,2024-12-30T18:00:00,ACT,Urban,2631.71,Detached_House,2,2,1.47,0.16,Fixed_Wireless,4G_only,Mountainous,Rock,High,Sealed,18.5,1.9,8.9,0,0,0,1,3,0,Monday,Evening,88,101.9
REQ_00112,2024-12-23T01:00:00,NT,Remote,24.43,Townhouse,2,1,49.04,24.47,Fixed_Wireless,ADSL,Flat,Mixed,High,Sealed,25.1,1.6,21.0,0,0,0,1,2,0,Monday,Night,110,113.6
REQ_00113,2024-11-11T09:00:00,WA,Rural,48.8,Industrial,3,2,31.42,37.78,HFC,ADSL,Outback,Rock,Low,Sealed,18.2,0.0,12.3,0,0,0,1,15,0,Monday,Morning,86,117.3
REQ_00114,2024-07-22T03:00:00,SA,Suburban,2797.32,Small_Business,2,2,4.24,2.21,FTTN,4G_only,Mountainous,Mixed,High,Seasonal,20.9,3.5,6.7,0,0,0,1,62,0,Monday,Night,81,156.3
REQ_00115,2024-10-01T03:00:00,VIC,Suburban,2544.46,Small_Business,2,1,2.18,2.3,FTTP,4G_only,Outback,Rock,High,Sealed,15.0,0.0,26.5,0,0,0,0,1,0,Tuesday,Night,71,119.8
